Generation,Avg_Population_Fitness,Avg_Population_Capacity,Active_Gene_Count,Best_Fitness_Score
1.0,1271.3,247.3,2258.0,7.0
2.0,1477.95,261.25,2258.0,7.0
3.0,1995.4,213.75,2258.0,7.0
4.0,2188.2,203.65,2258.0,7.0
5.0,2258.0,189.0,2258.0,7.0
6.0,2258.0,189.0,2258.0,7.0
7.0,2258.0,189.0,2258.0,7.0
8.0,2258.0,189.0,2258.0,7.0
9.0,2258.0,189.0,2258.0,7.0
10.0,2258.0,189.0,2258.0,7.0
11.0,2258.0,189.0,2258.0,7.0
12.0,2258.0,189.0,2258.0,7.0
13.0,2258.0,189.0,2258.0,7.0
14.0,2258.0,189.0,2258.0,7.0
15.0,2258.0,189.0,2258.0,7.0
16.0,2258.0,189.0,2258.0,7.0
17.0,2258.0,189.0,2258.0,7.0
18.0,2258.0,189.0,2258.0,7.0
19.0,2258.0,189.0,2258.0,7.0
20.0,2258.0,189.0,2258.0,7.0
21.0,2258.0,189.0,2258.0,7.0
22.0,2258.0,189.0,2258.0,7.0
23.0,2258.0,189.0,2258.0,7.0
24.0,2258.0,189.0,2258.0,7.0
25.0,2258.0,189.0,2258.0,7.0
26.0,2258.0,189.0,2258.0,7.0
27.0,2258.0,189.0,2258.0,7.0
28.0,2258.0,189.0,2258.0,7.0
29.0,2258.0,189.0,2258.0,7.0
