Generation,Avg_Population_Fitness,Avg_Population_Capacity,Active_Gene_Count,Best_Fitness_Score
1.0,1285.35,241.75,2258.0,7.0
2.0,2219.35,277.75,3263.0,12.0
3.0,2950.9,393.15,3719.0,14.0
4.0,3585.65,497.8,4558.0,17.0
5.0,3938.35,520.8,4547.0,19.0
6.0,4432.5,594.15,5441.0,18.0
7.0,4714.1,603.7,5517.0,21.0
8.0,5046.7,632.05,5769.0,23.0
9.0,5259.65,700.85,5910.0,21.0
10.0,5300.6,720.9,5814.0,23.0
11.0,5489.4,751.6,5780.0,23.0
12.0,5513.65,736.2,5978.0,24.0
13.0,5384.45,695.1,5737.0,24.0
14.0,5509.4,732.15,5868.0,24.0
15.0,5720.7,770.15,6306.0,24.0
16.0,5606.6,742.65,6244.0,23.0
17.0,5743.2,740.2,6765.0,24.0
18.0,5903.7,744.0,6705.0,24.0
19.0,5937.6,755.75,6626.0,23.0
20.0,6090.1,744.7,6980.0,26.0
21.0,6029.05,738.05,6718.0,26.0
22.0,6088.2,778.95,6596.0,25.0
23.0,6089.4,775.45,6554.0,25.0
24.0,6133.85,771.05,6591.0,26.0
25.0,6261.0,765.15,6815.0,25.0
26.0,6078.35,769.6,6608.0,26.0
27.0,6123.9,789.4,6483.0,25.0
28.0,6040.1,779.55,6611.0,27.0
29.0,6033.35,710.2,6316.0,27.0
