Generation,Avg_Population_Fitness,Avg_Population_Capacity,Active_Gene_Count,Best_Fitness_Score
1.0,1120.7,215.6,2258.0,7.0
2.0,1220.55,204.1,2258.0,7.0
3.0,1177.15,235.4,2258.0,7.0
4.0,1327.15,292.5,2258.0,7.0
5.0,1496.5,283.05,2258.0,7.0
6.0,1738.5,291.0,2258.0,7.0
7.0,1998.25,240.0,2258.0,7.0
8.0,2258.0,189.0,2258.0,7.0
9.0,2258.0,189.0,2258.0,7.0
10.0,2258.0,189.0,2258.0,7.0
11.0,2258.0,189.0,2258.0,7.0
12.0,2258.0,189.0,2258.0,7.0
13.0,2258.0,189.0,2258.0,7.0
14.0,2258.0,189.0,2258.0,7.0
15.0,2258.0,189.0,2258.0,7.0
16.0,2258.0,189.0,2258.0,7.0
