Generation,Avg_Population_Fitness,Avg_Population_Capacity,Active_Gene_Count,Best_Fitness_Score
1.0,1100.15,276.8,2258.0,7.0
2.0,2046.55,374.55,2590.0,10.0
3.0,2653.3,448.65,3001.0,14.0
4.0,3376.75,519.35,4061.0,16.0
5.0,4194.7,671.9,4781.0,19.0
6.0,4587.7,700.05,5165.0,18.0
7.0,4978.65,694.95,5412.0,22.0
8.0,5285.8,696.65,6242.0,26.0
9.0,5518.1,722.4,6177.0,26.0
10.0,5676.9,747.75,6143.0,26.0
11.0,5940.85,758.6,6453.0,24.0
12.0,6226.1,777.2,6512.0,28.0
13.0,6264.55,754.25,6482.0,25.0
14.0,6261.2,730.7,6662.0,29.0
15.0,6463.5,777.7,6890.0,28.0
16.0,6514.7,814.3,6743.0,27.0
17.0,6369.65,790.35,6826.0,28.0
18.0,6377.55,775.05,6826.0,28.0
19.0,6718.1,809.8,7121.0,29.0
20.0,6830.8,793.35,7190.0,29.0
21.0,6856.7,793.7,7062.0,28.0
22.0,6803.4,775.55,7029.0,27.0
23.0,6760.35,763.25,7041.0,26.0
24.0,6731.2,774.85,7015.0,33.0
25.0,6912.6,805.95,7328.0,31.0
26.0,6794.85,809.4,7198.0,31.0
27.0,6541.65,798.9,6921.0,30.0
28.0,6592.2,799.8,6878.0,27.0
29.0,6461.45,776.55,6930.0,30.0
